code,name
UA,United Airlines
UAL,United Airlines
AA,American Airlines
AAL,American Airlines
DL,Delta Air Lines
DAL,Delta Air Lines
WN,Southwest Airlines
SWA,Southwest Airlines
AS,Alaska Airlines
ASA,Alaska Airlines
B6,JetBlue Airways
JBU,JetBlue Airways
NK,Spirit Airlines
NKS,Spirit Airlines
F9,Frontier Airlines
FFT,Frontier Airlines
G4,Allegiant Air
AAY,Allegiant Air
HA,Hawaiian Airlines
HAL,Hawaiian Airlines
VX,Virgin America
VRD,Virgin America
EV,ExpressJet
ASH,ExpressJet
9E,Endeavor Air
FLG,Endeavor Air
YX,Republic Airways
RPA,Republic Airways
OH,PSA Airlines
JIA,PSA Airlines
MQ,Envoy Air
ENY,Envoy Air
OO,SkyWest Airlines
SKW,SkyWest Airlines
AC,Air Canada
ACA,Air Canada
LH,Lufthansa
DLH,Lufthansa
BA,British Airways
BAW,British Airways
AF,Air France
AFR,Air France
KL,KLM
KLM,KLM Royal Dutch
LX,Swiss International
SWR,Swiss International
OS,Austrian Airlines
AUA,Austrian Airlines
SK,SAS Scandinavian
SAS,SAS Scandinavian
AY,Finnair
FIN,Finnair
IB,Iberia
IBE,Iberia
EI,Aer Lingus
EIN,Aer Lingus
VS,Virgin Atlantic
VIR,Virgin Atlantic
TP,TAP Portugal
TAP,TAP Portugal
SN,Brussels Airlines
BEL,Brussels Airlines
TK,Turkish Airlines
THY,Turkish Airlines
EK,Emirates
UAE,Emirates
QR,Qatar Airways
QTR,Qatar Airways
EY,Etihad Airways
ETD,Etihad Airways
SV,Saudi Arabian
SVA,Saudi Arabian
MS,EgyptAir
MSR,EgyptAir
ET,Ethiopian Airlines
ETH,Ethiopian Airlines
SA,South African Airways
SAA,South African Airways
JL,Japan Airlines
JAL,Japan Airlines
NH,ANA
ANA,All Nippon Airways
KE,Korean Air
KAL,Korean Air
OZ,Asiana Airlines
AAR,Asiana Airlines
CA,Air China
CCA,Air China
CZ,China Southern
CSN,China Southern
MU,China Eastern
CES,China Eastern
CI,China Airlines
CAL,China Airlines
BR,EVA Air
EVA,EVA Airways
CX,Cathay Pacific
CPA,Cathay Pacific
SQ,Singapore Airlines
SIA,Singapore Airlines
TG,Thai Airways
THA,Thai Airways
MH,Malaysia Airlines
MAS,Malaysia Airlines
GA,Garuda Indonesia
GIA,Garuda Indonesia
QF,Qantas
QFA,Qantas
JQ,Jetstar
JST,Jetstar
VA,Virgin Australia
VOZ,Virgin Australia
NZ,Air New Zealand
ANZ,Air New Zealand
LA,LATAM Airlines
LAN,LATAM Airlines
AM,Aeromexico
AMX,Aeromexico
CM,Copa Airlines
CMP,Copa Airlines
AV,Avianca
AVA,Avianca
AR,Aerolineas Argentinas
ARG,Aerolineas Argentinas
G3,Gol Airlines
GLO,Gol Airlines
AD,Azul Airlines
AZU,Azul Airlines
ROU,Air Canada Rouge
DHK,DHL
EV,ExpressJet
ASH,ExpressJet
9E,Endeavor Air
FLG,Endeavor Air
YX,Republic Airways
RPA,Republic Airways
OH,PSA Airlines
JIA,PSA Airlines
MQ,Envoy Air
ENY,Envoy Air
OO,SkyWest Airlines
SKW,SkyWest Airlines
EDV,Endeavor Airlines
EJA,Net Jets
FDX,Fed Ex
UPS,United Parcel Service
LXJ,Flex Jets
GJS,Go Jets
PTR,Porter Airlines
WUP,Wheels Up
LTA,Lighter Than Air
FRG,Freight Runners Exp
WMU,Western Michigan Univ
KFS,Kalitta Airlines
NJM,Northern Jet
RJK,Charter Airlines
ATN,Air Transport Int'l
EJM,Exec Jet Management
PAC,Polar Air Cargo
KOW,Baker Aviation
VJA,Vista America
MXY,Breeze Airways
SCX,Sun Country Airlines
CKS,Kalitta Air
TIV,Thrive Aviation
RVJ,Aircraft Management Group
